  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-09-25 16:42:02 .................................................................................... ~ 503.78ms
  2026-09-25 16:42:03 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 1.65ms
  2026-09-25 16:42:03 /css/sb-admin-2.min.css ............................................................. ~ 10.51ms
  2026-09-25 16:42:03 /vendor/datatables/dataTables.bootstrap4.min.css .................................... ~ 18.06ms
  2026-09-25 16:42:03 /css/datatables-enhancements.css?v=1789530471 ....................................... ~ 23.41ms
  2026-09-25 16:42:03 /css/style.css ...................................................................... ~ 17.65ms
  2026-09-25 16:42:03 /css/sweetalert.css ................................................................. ~ 19.03ms
  2026-09-25 16:42:03 /css/shared/shell-theme.css?v=1790185700 ............................................ ~ 20.36ms
  2026-09-25 16:42:03 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 4.09ms
  2026-09-25 16:42:03 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 2.41ms
  2026-09-25 16:42:03 /js/sweetalert.min.js ................................................................ ~ 2.40ms
  2026-09-25 16:42:03 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.64ms
  2026-09-25 16:42:03 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 1.32ms
  2026-09-25 16:42:03 /css/sb-admin-2.min.css .............................................................. ~ 2.30ms
  2026-09-25 16:42:03 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.28ms
  2026-09-25 16:42:03 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 0.27ms
  2026-09-25 16:42:03 /css/style.css ....................................................................... ~ 1.47ms
  2026-09-25 16:42:03 /user_icon.png ....................................................................... ~ 0.21ms
  2026-09-25 16:42:03 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.57ms
  2026-09-25 16:42:03 /js/sweetalert.min.js ................................................................ ~ 0.19ms
  2026-09-25 16:42:03 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 0.19ms
  2026-09-25 16:42:03 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.19ms
  2026-09-25 16:42:03 /js/sb-admin-2.min.js ................................................................ ~ 0.19ms
  2026-09-25 16:42:03 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 0.20ms
  2026-09-25 16:42:03 /hp-logo.png ......................................................................... ~ 1.39ms
  2026-09-25 16:42:03 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.91ms
  2026-09-25 16:42:03 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 0.19ms
  2026-09-25 16:42:04 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.45ms
  2026-09-25 16:42:04 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 1.68ms
  2026-09-25 16:42:04 /js/sb-admin-2.min.js ................................................................ ~ 2.58ms
  2026-09-25 16:42:04 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.60ms
  2026-09-25 16:42:13 ...................................................................................... ~ 0.85ms
  2026-09-25 16:42:13 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.19ms
  2026-09-25 16:42:13 /css/sb-admin-2.min.css .............................................................. ~ 0.23ms
  2026-09-25 16:42:13 /css/style.css ....................................................................... ~ 1.81ms
  2026-09-25 16:42:13 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 3.32ms
  2026-09-25 16:42:13 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 4.27ms
  2026-09-25 16:42:13 /js/sweetalert.min.js ................................................................ ~ 5.25ms
  2026-09-25 16:42:13 /css/sweetalert.css .................................................................. ~ 3.32ms
  2026-09-25 16:42:13 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 0.21ms
  2026-09-25 16:42:13 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 1.22ms
  2026-09-25 16:42:13 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 2.21ms
  2026-09-25 16:42:13 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 3.22ms
  2026-09-25 16:42:13 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 2.11ms
  2026-09-25 16:42:14 /css/sb-admin-2.min.css .............................................................. ~ 0.19ms
  2026-09-25 16:42:14 /css/style.css ....................................................................... ~ 1.36ms
  2026-09-25 16:42:14 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.67ms
  2026-09-25 16:42:14 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 1.13ms
  2026-09-25 16:42:14 /user_icon.png ....................................................................... ~ 0.19ms
  2026-09-25 16:42:14 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.60ms
  2026-09-25 16:42:14 /js/sweetalert.min.js ................................................................ ~ 0.17ms
  2026-09-25 16:42:14 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.16ms
  2026-09-25 16:42:14 /js/sb-admin-2.min.js ................................................................ ~ 0.20ms
  2026-09-25 16:42:14 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 1.51ms
  2026-09-25 16:42:14 /hp-logo.png ......................................................................... ~ 2.55ms
  2026-09-25 16:42:14 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 0.17ms
  2026-09-25 16:42:14 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.17ms
  2026-09-25 16:42:14 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 1.14ms
  2026-09-25 16:42:14 /vendor/bootstrap/js/bootstrap.bundle.min.js ........................................ ~ 11.02ms
  2026-09-25 16:42:14 /vendor/jquery-easing/jquery.easing.min.js .......................................... ~ 12.40ms
  2026-09-25 16:42:14 /js/sb-admin-2.min.js ................................................................ ~ 1.17ms
  2026-09-25 16:42:14 /js/datatables-enhancements.js?v=1789532525 .......................................... ~ 2.33ms
  2026-09-25 16:42:27 .................................................................................... ~ 525.80ms
  2026-09-25 16:42:27 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.21ms
  2026-09-25 16:42:27 /css/sb-admin-2.min.css .............................................................. ~ 1.35ms
  2026-09-25 16:42:27 /css/style.css ....................................................................... ~ 1.50ms
  2026-09-25 16:42:27 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.88ms
  2026-09-25 16:42:27 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 3.90ms
  2026-09-25 16:42:27 /css/sweetalert.css .................................................................. ~ 5.02ms
  2026-09-25 16:42:27 /css/shared/shell-theme.css?v=1790185700 ............................................. ~ 5.07ms
  2026-09-25 16:42:27 /css/admin/admin-experience.css?v=1790186021 ......................................... ~ 6.20ms
  2026-09-25 16:42:27 /js/sweetalert.min.js ................................................................ ~ 0.27ms
  2026-09-25 16:42:27 /js/ajax/libs/jquery/3.6.0/jquery.min.js ............................................. ~ 1.53ms
  2026-09-25 16:42:27 /js/ajax/libs/jquery-validate/1.19.5/jquery.validate.min.js .......................... ~ 2.62ms
  2026-09-25 16:42:27 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 3.52ms
  2026-09-25 16:42:27 /css/sb-admin-2.min.css .............................................................. ~ 4.67ms
  2026-09-25 16:42:27 /css/style.css ....................................................................... ~ 6.00ms
  2026-09-25 16:42:27 /vendor/datatables/dataTables.bootstrap4.min.css ..................................... ~ 2.97ms
  2026-09-25 16:42:27 /css/datatables-enhancements.css?v=1789530471 ........................................ ~ 1.22ms
  2026-09-25 16:42:27 /user_icon.png ....................................................................... ~ 0.28ms
  2026-09-25 16:42:27 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 1.70ms
  2026-09-25 16:42:27 /vendor/jquery-easing/jquery.easing.min.js ........................................... ~ 0.18ms
  2026-09-25 16:42:27 /js/sb-admin-2.min.js ................................................................ ~ 1.22ms
